记录时间,分类,内容,目标时间,状态,关联花销
2026-01-03 11:51:40,日程,后天准备请张三吃饭，预算500元,2026-01-05 11:51:40,Pending,0.0
2026-01-03 11:57:27,日程,下个月1号去北京,2026-02-03 11:57:27,Done,1100.0
2026-01-03 13:15:17,日程,我觉得应该做一app，用于归纳自己的生活,,Done,0.0
2026-01-03 13:15:45,日程,我觉得做一个app是个不错的想法,,Done,0.0
2026-01-03 13:17:18,待办,我觉得做一个app是个不错的想法,,Pending,0.0
2026-01-03 13:17:28,待办,我觉得做一个app是个不错的想法,,Pending,0.0
2026-01-03 13:17:54,创意,我觉得这种记录方式很有趣,,Done,0.0
2026-01-03 13:18:20,待办,我有一个好主意，做一个app用于记录生活,,Pending,0.0
2026-01-03 13:20:08,创意,我有一个好主意，做一个app用于记录生活,,Done,0.0
2026-01-03 13:36:38,日程,昨天我去看电影了,2026-01-02 13:36:38,Done,0.0
2026-01-03 13:43:39,餐饮,下个月1号去北京 (来自待办),,Done,300.0
2026-01-03 13:43:39,其它,下个月1号去北京 (来自待办),,Done,800.0
2026-01-03 14:48:36,待办,明天要上班了。,2026-01-04 14:48:36,Pending,0.0
2026-01-03 14:48:37,待办,明天要上班了。,2026-01-04 14:48:37,Pending,0.0
2026-01-03 14:48:39,待办,明天要上班了。,2026-01-04 14:48:39,Pending,0.0
2026-01-03 14:48:40,待办,明天要上班了。,2026-01-04 14:48:40,Pending,0.0
2026-01-03 14:48:42,待办,明天要上班了。,2026-01-04 14:48:42,Pending,0.0
2026-01-03 14:48:44,待办,明天要上班了。,2026-01-04 14:48:44,Pending,0.0
2026-01-03 14:48:45,待办,明天要上班了。,2026-01-04 14:48:45,Pending,0.0
2026-01-03 14:48:47,待办,明天要上班了。,2026-01-04 14:48:47,Pending,0.0
2026-01-03 14:48:48,待办,明天要上班了。,2026-01-04 14:48:48,Pending,0.0
2026-01-03 14:48:49,待办,明天要上班了。,2026-01-04 14:48:49,Pending,0.0
2026-01-03 14:48:51,待办,明天要上班了。,2026-01-04 14:48:51,Pending,0.0
2026-01-03 14:48:52,待办,明天要上班了。,2026-01-04 14:48:52,Pending,0.0
2026-01-03 14:48:54,待办,明天要上班了。,2026-01-04 14:48:54,Pending,0.0
2026-01-03 14:48:55,待办,明天要上班了。,2026-01-04 14:48:55,Pending,0.0
2026-01-03 14:48:57,待办,明天要上班了。,2026-01-04 14:48:57,Pending,0.0
